customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0343-QLUZP,0,No phone service,DSL,Yes,Yes,Yes,No,No,No
9763-PDTKK,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes
2176-LVPNX,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7627-JKIAZ,1,Yes,Fiber optic,No,No,Yes,No,No,No
3312-UUMZW,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
1271-UODNO,1,Yes,DSL,No,No,No,Yes,No,No
8461-EFQYM,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6900-RBKER,1,Yes,Fiber optic,No,No,Yes,No,No,Yes
6891-JPYFF,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
1459-QNFQT,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
1047-NNCBF,1,No,Fiber optic,No,No,No,No,No,No
3696-XRIEN,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
4081-DYXAV,0,No phone service,DSL,No,No,No,No,Yes,Yes
0074-HDKDG,1,No,DSL,Yes,Yes,Yes,No,No,No
8791-GFXLZ,1,No,DSL,No,Yes,No,No,No,No
8111-SLLHI,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
0927-LCSMG,1,No,Fiber optic,No,No,Yes,No,No,No
9330-DHBFL,1,No,DSL,Yes,Yes,Yes,Yes,No,No
0098-BOWSO,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3452-ABWRL,1,Yes,Fiber optic,No,No,No,No,Yes,No
5859-HZYLF,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8257-RZAHR,1,Yes,DSL,Yes,No,No,No,Yes,No
5293-WXJAK,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3156-QLHBO,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2208-NQBCT,1,No,Fiber optic,Yes,Yes,No,No,No,No
1779-PWPMG,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6621-NRZAK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0831-JNISG,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0774-IFUVM,1,Yes,DSL,Yes,No,No,No,Yes,No
3082-WQRVY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9553-DLCLU,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1641-BYBTK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2460-NGXBJ,1,Yes,Fiber optic,No,No,No,No,No,No
2446-ZKVAF,1,Yes,DSL,No,Yes,No,No,No,No
0841-NULXI,0,No phone service,DSL,No,No,No,No,No,Yes
3522-CDKHF,1,No,Fiber optic,Yes,No,No,No,No,No
1430-SFQSA,0,No phone service,DSL,Yes,No,No,Yes,No,No
0411-EZJZE,1,Yes,DSL,No,No,No,No,Yes,No
7851-WZEKY,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
8844-TONUD,1,No,Fiber optic,No,No,Yes,No,Yes,Yes
8807-ARQET,0,No phone service,DSL,No,Yes,No,No,No,Yes
8992-CEUEN,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4320-QMLLA,1,No,DSL,No,No,No,No,Yes,No
8777-PVYGU,1,No,DSL,Yes,No,Yes,No,Yes,No
8292-ITGYJ,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6870-ZWMNX,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No
0621-CXBKL,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5268-DSMNQ,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
5334-JLAXU,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes
4086-YQSNZ,1,No,Fiber optic,No,No,No,No,Yes,No
6242-MBHPK,1,No,Fiber optic,Yes,No,No,No,Yes,Yes
5868-CZJDR,0,No phone service,DSL,No,Yes,No,No,No,No
9359-UGBTK,1,No,DSL,Yes,No,Yes,Yes,No,Yes
0135-NMXAP,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
4782-OSFXZ,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
6479-OAUSD,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7129-ACFOG,1,Yes,DSL,Yes,No,No,No,No,No
4189-NAKJS,1,Yes,DSL,No,No,No,No,No,No
5562-BETPV,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1282-IHQAC,0,No phone service,DSL,No,Yes,Yes,No,Yes,No
9127-FHJBZ,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6270-OMFIW,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
1641-RQDAY,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
0107-WESLM,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6994-ORCWG,1,Yes,DSL,No,Yes,No,No,No,No
1346-UFHAX,1,Yes,Fiber optic,Yes,No,No,No,No,No
3992-YWPKO,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
2933-XEUJM,1,Yes,DSL,Yes,No,Yes,No,Yes,Yes
0125-LZQXK,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
5461-QKNTN,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
4835-YSJMR,1,No,DSL,No,No,No,Yes,No,No
8399-YNDCH,1,No,DSL,No,No,Yes,No,Yes,No
3164-YAXFY,0,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
0887-WBJVH,1,No,Fiber optic,No,No,No,Yes,Yes,Yes
4660-IRIBM,1,No,Fiber optic,Yes,No,Yes,No,Yes,No
5673-FSSMF,1,Yes,DSL,No,No,No,No,No,Yes
7670-ZBPOQ,1,Yes,DSL,Yes,No,No,Yes,No,No
8089-UZWLX,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
0080-OROZO,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
3916-NRPAP,1,No,Fiber optic,No,No,Yes,No,No,Yes
6807-SIWJI,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
8221-HVAYI,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No
1579-KLYDT,1,Yes,Fiber optic,No,No,Yes,No,Yes,No
5232-NXPAY,1,No,DSL,No,No,Yes,Yes,Yes,Yes
8967-SZQAS,1,No,DSL,No,Yes,No,No,No,No
4468-KAZHE,1,No,DSL,No,Yes,No,No,No,Yes
0455-ENTCR,1,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
8944-AILEF,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5542-NKVRU,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7126-RBHSD,1,Yes,Fiber optic,Yes,No,No,No,No,No
5370-IIVVL,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
6789-HJBWG,1,No,DSL,No,Yes,No,No,No,No
3927-NLNRY,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
9087-EYCPR,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6791-YBNAK,0,No phone service,DSL,No,No,No,No,No,No
6358-LYNGM,1,Yes,Fiber optic,No,No,No,No,No,No
6077-BDPXA,1,No,Fiber optic,No,No,No,No,No,No
0013-MHZWF,1,No,DSL,No,No,No,Yes,Yes,Yes
5494-HECPR,1,No,Fiber optic,No,No,No,No,Yes,No
8268-YDIXR,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
9824-BEMCV,1,No,Fiber optic,No,No,No,No,No,No
1373-ORVIZ,1,Yes,DSL,No,No,No,Yes,No,Yes
4291-SHSBH,1,No,Fiber optic,No,No,No,No,No,No
6980-IMXXE,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9866-QEVEE,1,Yes,Fiber optic,No,No,No,No,No,Yes
9897-KXHCM,1,No,Fiber optic,No,No,No,No,No,Yes
0040-HALCW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0784-GTUUK,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7979-CORPM,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
2294-DMMUS,1,Yes,DSL,No,No,No,No,Yes,Yes
0872-JCPIB,1,Yes,DSL,Yes,No,No,No,No,Yes
3055-MJDSB,0,No phone service,DSL,No,No,No,No,No,No
9091-WTUUY,1,No,DSL,Yes,No,Yes,Yes,Yes,No
1618-CFHME,1,Yes,Fiber optic,No,No,No,No,No,No
3165-HDOEW,1,No,DSL,No,No,No,No,No,No
6581-NQCBA,0,No phone service,DSL,No,No,No,Yes,Yes,Yes
7115-IRDHS,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8496-DMZUK,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
2040-VZIKE,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
9068-VPWQQ,1,Yes,DSL,Yes,No,Yes,Yes,No,Yes
0178-SZBHO,1,Yes,Fiber optic,No,Yes,No,No,Yes,No
0384-RVBPI,1,No,DSL,Yes,No,Yes,No,No,Yes
1689-MRZQR,1,No,Fiber optic,No,No,No,No,Yes,No
1299-AURJA,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4525-VZCZG,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
1543-LLLFT,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No
5835-BEQEU,1,Yes,Fiber optic,No,No,No,No,No,No
2788-CJQAQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5565-FILXA,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
0319-QZTCO,1,No,DSL,No,Yes,No,No,Yes,No
2120-SMPEX,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0096-FCPUF,1,Yes,DSL,Yes,No,No,No,No,Yes
0668-OGMHD,0,No phone service,DSL,Yes,No,No,No,No,No
5552-ZNFSJ,1,No,DSL,No,No,No,No,No,No
2223-KAGMX,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6507-ZJSUR,1,No,Fiber optic,No,No,No,No,Yes,Yes
9408-HRXRK,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
5593-SUAOO,1,Yes,Fiber optic,No,Yes,Yes,No,No,No
7321-PKUYW,1,Yes,Fiber optic,No,No,No,Yes,Yes,No
2833-SLKDQ,1,No,DSL,No,No,No,No,No,No
6766-HFKLA,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
7595-EUIVN,1,No,Fiber optic,No,Yes,No,No,No,No
7617-EYGLW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2026-TGDHM,1,No,Fiber optic,No,No,No,No,No,Yes
9220-ZNKJI,1,No,Fiber optic,No,No,Yes,Yes,Yes,No
4030-VPZBD,0,No phone service,DSL,No,No,No,Yes,No,No
2226-ICFDO,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
0723-VSOBE,0,No phone service,DSL,No,No,No,No,No,Yes
5529-GIBVH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4187-CINZD,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
9992-UJOEL,1,No,DSL,No,Yes,No,No,No,No
4741-WWJQZ,1,No,Fiber optic,Yes,No,No,Yes,No,No
6625-UTXEW,1,No,DSL,No,Yes,No,No,No,No
6818-WOBHJ,1,Yes,Fiber optic,No,Yes,No,No,No,Yes
6244-BESBM,1,No,Fiber optic,No,No,No,Yes,Yes,Yes
1004-NOZNR,1,No,Fiber optic,Yes,No,No,No,Yes,Yes
1251-STYSZ,1,Yes,Fiber optic,Yes,No,No,No,No,No
2612-PHGOX,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No
2408-TZMJL,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
8480-PPONV,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8780-IHCRN,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-ZADCK,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
1257-SXUXQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9681-KYGYB,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
7182-OVLBJ,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
5095-ETBRJ,1,No,DSL,Yes,Yes,No,Yes,No,No
7005-CYUIL,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
4821-WQOYN,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4730-AWNAU,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
3452-FLHYD,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2388-LAESQ,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
9531-NSBMR,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6260-ONULR,1,No,DSL,No,No,No,No,Yes,Yes
4389-UEFCZ,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
8711-LOBKY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9134-CEQMF,1,No,Fiber optic,No,No,No,No,Yes,Yes
8985-OOPOS,1,No,DSL,No,No,Yes,Yes,Yes,Yes
8800-ZKRFW,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
2616-FLVQC,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9968-FFVVH,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No
3108-PCCGG,1,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
7993-PYKOF,1,No,Fiber optic,Yes,No,No,No,No,No
8390-FESFV,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
3022-BEXHZ,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
5027-XWQHA,1,No,DSL,No,No,No,No,No,No
6248-TKCQV,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes
6729-GDNGC,1,No,Fiber optic,No,No,No,No,Yes,No
6198-ZFIOJ,1,Yes,Fiber optic,No,No,No,No,No,No
5989-OMNJE,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
4566-QVRRW,1,No,DSL,No,No,No,No,No,No
1291-CUOCY,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
9795-SHUHB,1,No,DSL,Yes,Yes,No,Yes,No,No
3230-IUALN,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes
0042-RLHYP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8519-IMDHU,1,Yes,Fiber optic,No,No,No,No,No,Yes
4945-RVMTE,1,No,DSL,No,No,Yes,No,Yes,No
0201-OAMXR,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
1866-NXPSP,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes
3372-KWFBM,1,Yes,Fiber optic,No,No,No,No,Yes,No
7831-QGOXH,1,Yes,Fiber optic,No,No,No,No,Yes,No
6393-WRYZE,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
3941-XTSKM,0,No phone service,DSL,No,Yes,Yes,No,No,Yes
1661-CZBAU,1,Yes,DSL,Yes,No,No,Yes,No,Yes
6599-RCLCJ,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
9831-BPFRI,1,Yes,Fiber optic,No,Yes,Yes,Yes,No,No
5158-RIVOP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9788-YTFGE,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9277-JOOMO,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1907-YLNYW,1,No,DSL,Yes,No,Yes,No,No,Yes
1725-MIMXW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8947-YRTDV,1,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
3161-ONRWK,1,No,DSL,Yes,Yes,Yes,Yes,No,No
0114-RSRRW,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4565-NLZBV,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0031-PVLZI,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7206-GZCDC,1,No,Fiber optic,No,No,No,No,No,No
6682-VCIXC,0,No phone service,DSL,Yes,Yes,No,Yes,Yes,No
4791-QRGMF,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
6475-VHUIZ,1,No,DSL,No,No,Yes,Yes,No,No
3910-MRQOY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0661-WCQNQ,1,No,DSL,Yes,No,No,Yes,No,No
7537-RBWEA,0,No phone service,DSL,No,No,No,No,No,No
4656-CAURT,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0121-SNYRK,0,No phone service,DSL,Yes,No,No,Yes,No,No
1768-ZAIFU,0,No phone service,DSL,No,No,No,No,No,No
4671-LXRDQ,1,No,DSL,No,No,No,No,No,No
3733-LSYCE,1,No,Fiber optic,No,Yes,No,No,No,No
6265-FRMTQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1934-SJVJK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3838-OZURD,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1371-DWPAZ,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
9269-CQOOL,1,No,DSL,No,No,No,No,Yes,No
2017-CCBLH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7690-KPNCU,1,No,DSL,Yes,No,Yes,No,Yes,Yes
0536-BGFMZ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2293-IJWPS,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2845-HSJCY,1,Yes,Fiber optic,No,No,Yes,No,No,Yes
5469-NUJUR,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1184-PJVDB,1,No,Fiber optic,No,No,No,No,Yes,No
2625-TRCZQ,0,No phone service,DSL,No,Yes,No,No,Yes,Yes
4102-HLENU,1,Yes,DSL,Yes,Yes,Yes,No,No,No
7266-GSSJX,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7722-VJRQD,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
7073-QETQY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9415-DPEWS,1,Yes,Fiber optic,No,No,No,Yes,Yes,No
5624-RYAMH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0196-JTUQI,1,Yes,Fiber optic,No,No,No,No,No,No
7130-YXBRO,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9272-LSVYH,1,No,Fiber optic,No,No,No,No,No,No
7943-RQCHR,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
3793-MMFUH,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
3249-ZPQRG,1,Yes,Fiber optic,No,Yes,No,No,No,No
2568-BRGYX,1,No,Fiber optic,No,No,No,No,No,No
3084-DOWLE,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1084-MNSMJ,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7721-JXEAW,0,No phone service,DSL,No,Yes,No,No,No,Yes
7249-WBIYX,1,Yes,Fiber optic,No,No,No,No,Yes,No
4238-HFHSN,1,Yes,Fiber optic,No,Yes,No,No,No,No
6250-CGGUN,1,No,Fiber optic,Yes,No,Yes,Yes,No,No
5478-JJVZK,1,Yes,DSL,Yes,Yes,No,No,No,No
7596-IIWYC,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6567-HOOPW,1,No,Fiber optic,No,No,No,No,Yes,No
9793-WECQC,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
4291-HPAXL,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8999-YPYBV,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
1839-FBNFR,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3164-AALRN,1,No,DSL,No,No,Yes,No,Yes,Yes
3071-MVJCD,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
1697-BCSHV,1,Yes,DSL,No,Yes,No,No,Yes,No
0562-KBDVM,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
1131-SUEKT,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
3717-OEAUQ,1,No,Fiber optic,No,No,No,No,No,No
4538-WNTMJ,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3334-CTHOL,1,Yes,DSL,No,No,No,No,No,No
4704-ERYFC,1,No,Fiber optic,No,No,No,No,No,No
9432-RUVSL,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8060-HIWJJ,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
7684-XSZIY,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9089-UOWJG,1,No,DSL,No,No,Yes,No,Yes,No
8621-MNIHH,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
8039-ACLPL,1,No,DSL,Yes,Yes,Yes,No,No,Yes
9885-AIBVB,1,Yes,Fiber optic,No,Yes,Yes,No,No,No
1934-MKPXS,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2592-YKDIF,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2272-JKMSI,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0471-LVHGK,1,Yes,DSL,No,No,Yes,No,Yes,Yes
9518-RWHZL,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
8714-CTZJW,1,No,Fiber optic,No,No,Yes,No,No,Yes
3569-EDBPQ,1,Yes,Fiber optic,Yes,No,No,Yes,No,No
3131-NWVFJ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7521-YXVZY,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5419-CONWX,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
6240-EURKS,0,No phone service,DSL,No,No,No,No,No,Yes
2373-NTKOD,1,No,DSL,No,No,No,No,Yes,Yes
1970-KKFWL,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6960-HVYXR,1,Yes,Fiber optic,No,No,No,No,No,No
9337-SRRNI,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0895-UADGO,0,No phone service,DSL,Yes,No,No,Yes,No,Yes
5678-VFNEQ,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
5977-CKHON,1,Yes,Fiber optic,No,No,Yes,No,No,Yes
7024-OHCCK,1,Yes,Fiber optic,No,No,No,No,Yes,Yes
2692-BUCFV,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
7861-UVUFT,1,No,Fiber optic,No,No,Yes,No,Yes,No
1830-GGFNM,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
5302-BDJNT,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
5223-UZAVK,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
4859-ZSRDZ,0,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
5651-WYIPH,1,No,DSL,No,Yes,No,No,No,No
9350-VLHMB,1,Yes,Fiber optic,No,Yes,No,No,No,Yes
3498-LZGQZ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8785-CJSHH,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
5357-TZHPP,1,Yes,Fiber optic,No,No,No,No,No,Yes
3870-SPZSI,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0680-DFNNY,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7560-QRBXH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7077-XJMET,1,No,DSL,No,No,Yes,Yes,Yes,Yes
8752-GHJFU,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
6896-SRVYQ,1,No,Fiber optic,No,No,Yes,No,No,No
7767-UXAGJ,1,Yes,DSL,No,No,No,No,No,No
4652-ODEVH,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6510-UPNKS,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6718-BDGHG,1,Yes,DSL,No,No,No,Yes,Yes,No
9046-DQMTP,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6439-LAJXL,1,No,DSL,Yes,Yes,No,Yes,Yes,No
1571-SAVHK,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
9052-VKDUW,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9546-CQJSU,1,Yes,Fiber optic,No,No,Yes,No,Yes,No
1666-JZPZT,1,Yes,DSL,No,No,No,No,No,No
5777-KJIRB,1,No,DSL,No,No,Yes,No,No,No
0506-LVNGN,1,No,Fiber optic,No,No,Yes,No,No,No
7677-SJJJK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2480-EJWYP,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
3253-HKOKL,1,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
7055-HNEOJ,1,No,DSL,No,No,Yes,Yes,No,No
5514-YQENT,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3211-AAPKX,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
8445-DNBAE,1,Yes,DSL,No,No,No,No,No,No
2951-QOQTK,1,Yes,Fiber optic,No,No,No,Yes,No,No
2958-NHPPS,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6806-YDEUL,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1735-XMJVH,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6890-PFRQX,1,Yes,DSL,Yes,No,Yes,No,Yes,No
0222-CNVPT,0,No phone service,DSL,Yes,No,No,No,Yes,Yes
5899-OUVKV,1,No,Fiber optic,No,Yes,No,No,Yes,Yes
8681-ICONS,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1621-YNCJH,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
3473-XIIIT,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
6362-QHAFM,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
7893-IXHRQ,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3070-BDOQC,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
2952-QAYZF,1,Yes,Fiber optic,No,Yes,Yes,No,No,No
6234-PFPXL,1,Yes,Fiber optic,Yes,No,No,Yes,Yes,No
9824-QCJPK,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4763-PGDPO,1,No,Fiber optic,No,No,No,No,No,No
4283-IVYCI,1,No,DSL,Yes,No,No,Yes,No,Yes
1866-OBPNR,1,No,Fiber optic,No,Yes,No,No,No,No
8205-MQUGY,1,No,DSL,Yes,No,No,No,No,No
